blockNumber,logIndex,quoteAmount,baseAmount,price,liquidity
18585271,21,95.638619852099051593,-0.047048941206194526,2026.651273437537036496589249,2180608.411556918005717598
18585316,34,34577.481987952044146688,-17.004231555623483517,2028.074934467722124966879591,2180608.411556918005717598
18585411,17,-79891.457082660104560265,39.54345813106610176,2024.776462156503397341725761,2180711.793145852848102476
18585414,34,-90517.259133148276681389,44.880734377740318913,2021.04265996942680292123439,2180711.793145852848102476
18585418,23,-43185.164630055026425735,21.441506233134980096,2019.262502672355276069004446,2180711.793145852848102476
18585419,5,-71710.991584029120939272,35.646403674982137856,2016.308200563052372163590282,2180711.793145852848102476
18585420,17,-123817.891191956072345726,61.670976165051531264,2011.212386178568512866447584,2180771.880514496244264982
18585422,91,-40641.471377451334084696,20.276679698219508696,2009.541188203010937754024056,2180771.880514496244264982
18585423,47,-33479.006765805197392766,16.71588020531439471,2008.165036198963049680255277,2180771.880514496244264982
18585429,24,-41398.598280007566775502,20.685931934270403353,2006.464001797569989418191354,2180771.880514496244264982
18585431,665,-31856.165243008055391707,15.929737405717500177,2005.155548824075633986290215,2180771.880514496244264982
18585432,63,-19937.288751935068583596,9.97496886911064064,2004.336866235879160393480001,2180771.880514496244264982
18585433,11,-115793.999817100333364472,58.014293467597938688,1999.598591937511391410938935,2196514.123504199006978144
18585436,17,-63507.111009604780743985,31.87610654020579328,1997.013658648756704246778971,2196514.123504199006978144
18585525,45,42471.776973012301886793,-21.194698573751280612,1998.737017696358207116807947,2196514.123504199006978144
18585587,53,38467.77573948780445696,-19.18081231881229212,2000.29854958177166820662713,2196514.123504199006978144
18585605,113,39307.148879012191797248,-19.583872114665490924,2001.898100185023261323069958,2180771.880514496244264982
18585608,38,40378.351655423410209732,-20.101229906715600838,2003.550343743307194901301979,2180771.880514496244264982
18585667,35,42290.212723963690221568,-21.035227786892664888,2005.281549547765362327681995,2180771.880514496244264982
18585903,27,51795.373765527972347904,-25.738378267124714689,2007.402880247680242876369926,2180771.880514496244264982
18586078,26,-48791.135674191801713514,24.390918160702902272,2005.398548952995417086329251,2180771.880514496244264982
18586088,14,-60376.996425490548324473,30.216505222209179648,2002.919658478913963191449468,2180771.880514496244264982
18586111,37,-64604.755020525243384173,32.37374723760500736,2000.277246714628359749732679,2196514.123504199006978144
18586123,14,-41577.788128869345897723,20.857385902653545517,1998.584427575137593351449098,2196514.123504199006978144
18586125,15,-70623.673279657243799749,35.468686499625320448,1995.710661952880866764019628,2196514.123504199006978144
18586193,62,-40061.109082985083606399,20.142231136105127936,1994.081444362201244960145717,2196514.123504199006978144
