blockNumber,reserve0,reserve1
18257634,5.246628794194379e21,8792192872190.0
18257643,5.246685136186941e21,8792098739694.0
18257658,5.246892210044253e21,8791752791636.0
18257671,5.246896175044253e21,8791746167773.0
18257673,5.246966175044253e21,8791629228581.0
18257689,5.246787674091527e21,8791929228581.0
18257693,5.246780715911711e21,8791940923353.0
18257714,5.246702179556695e21,8792072923353.0
18257724,5.246696592855811e21,8792082313353.0
18257726,5.246518110272181e21,8792382313353.0
18257760,5.245367028860466e21,8794317583353.0
18257764,5.245455248625462e21,8794170121382.0
18257779,5.245467639177403e21,8794149410602.0
18257780,5.245467788324728e21,8794149161304.0
18257826,5.245470971806401e21,8794143840138.0
18257861,5.245483283131401e21,8794123261909.0
18257868,5.245493986624163e21,8794105371230.0
18257878,5.246994009512696e21,8791598831959.0
18257882,5.246988059233122e21,8791608831959.0
18257883,5.246929077816954e21,8791707956959.0
18257907,5.243955694344222e21,8796707956959.0
18257911,5.243962659344222e21,8796696308275.0
18257940,5.243972200674582e21,8796680350832.0
18257946,5.244952200674582e21,8795041653473.0
18257948,5.245271173649972e21,8794508417940.0
18257949,5.248368898120664e21,8789333237513.0
18257950,5.248980687563758e21,8788311878927.0
18257971,5.249046639257943e21,8788201789361.0
18257972,5.250238229984433e21,8786213207018.0
18257976,5.251429078546321e21,8784226763490.0
18257977,5.250416020669625e21,8785926763490.0
18258001,5.248441907836343e21,8789241385407.0
18258003,5.248444698778609e21,8789236725613.0
18258023,5.248652183273017e21,8788890320556.0
18258051,5.251552183273017e21,8784051491998.0
18258069,5.251621123753165e21,8783936525590.0
18258110,5.251561810128484e21,8784036034052.0
18258120,5.251554381748894e21,8784048496552.0
18258122,5.25146692417052e21,8784195225695.0
18258126,5.251466682057587e21,8784195631899.0
18258159,5.251407078958144e21,8784295631899.0
18258160,5.251352276452158e21,8784387579638.0
18258167,5.251292675953542e21,8784487579638.0
18258173,5.25127522577754e21,8784516858643.0
18258184,5.252173476235677e21,8783018997182.0
18258187,5.252016229172056e21,8783282754883.0
18258197,5.251940996297567e21,8783408952026.0
18258214,5.251730565550568e21,8783761952026.0
18258228,5.251724604585939e21,8783771952026.0
18258235,5.251568325143711e21,8784034131523.0
18258246,5.25154283437514e21,8784076897153.0
18258249,5.251244824057671e21,8784576897153.0
18258249,5.25112562942112e21,8784776897153.0
18258250,5.251097530850403e21,8784824045853.0
18258274,5.251091571324897e21,8784834045853.0
18258303,5.251064922491831e21,8784878762498.0
18258319,5.250886144834406e21,8785178762498.0
18258320,5.250880185789421e21,8785188762498.0
18258326,5.250874226757981e21,8785198762498.0
18258331,5.250814993851659e21,8785298163957.0
18258338,5.250803076098684e21,8785318163957.0
18258352,5.250683901545136e21,8785518163957.0
18258357,5.250649261961884e21,8785576298180.0
18258364,5.250643303455355e21,8785586298180.0
18258377,5.25018819103604e21,8786350168097.0
18258397,5.250170331211564e21,8786380147097.0
